Country,ISO,Currency,Currency_code,Status,Withdrawl_date,country_type,,
DJIBOUTI,DJI,Djibouti Franc,DJF,Active,ongoing,Sovereign country,,
DOMINICA,DMA,East Caribbean Dollar,XCD,Active,ongoing,0,,
DOMINICAN REPUBLIC (THE),DOM,Dominican Peso,DOP,Active,ongoing,Sovereign country,,
ECUADOR,ECU,Sucre,ECS,Historic,2000-09,Sovereign country,,
ECUADOR,ECU,Unidad de Valor Constante (UVC),ECV,Historic,2000-09,Sovereign country,,
ECUADOR,ECU,US Dollar,USD,Active,ongoing,Sovereign country,,
EGYPT,EGY,Egyptian Pound,EGP,Active,ongoing,Sovereign country,,
EL SALVADOR,SLV,El Salvador Colon,SVC,Active,ongoing,Sovereign country,,
EL SALVADOR,SLV,US Dollar,USD,Active,ongoing,Sovereign country,,
EQUATORIAL GUINEA,GNQ,Ekwele,GQE,Historic,1986-06,Sovereign country,,
EQUATORIAL GUINEA,GNQ,CFA Franc BEAC,XAF,Active,ongoing,Sovereign country,,
ERITREA,ERI,Nakfa,ERN,Active,ongoing,Sovereign country,,
ESTONIA,EST,Kroon,EEK,Historic,2011-01,Sovereign country,,
ESTONIA,EST,Euro,EUR,Active,ongoing,Sovereign country,,
ESWATINI,SWZ,Lilangeni,SZL,Active,ongoing,Sovereign country,,
ETHIOPIA,ETH,Ethiopian Birr,ETB,Active,ongoing,Sovereign country,,
EUROPEAN MONETARY CO-OPERATION FUND (EMCF),0,European Currency Unit (E.C.U),XEU,Historic,1999-01,0,,
EUROPEAN UNION,EMU,Euro,EUR,Active,ongoing,0,,
FALKLAND ISLANDS (THE) [MALVINAS],FLK,Falkland Islands Pound,FKP,Active,ongoing,Dependency,,
FAROE ISLANDS (THE),FRO,Danish Krone,DKK,Active,ongoing,0,,
FIJI,FJI,Fiji Dollar,FJD,Active,ongoing,Sovereign country,,
FINLAND,FIN,Euro,EUR,Active,ongoing,Country,,
FINLAND,FIN,Markka,FIM,Historic,2002-03,Country,,
FRANCE,FRA,Euro,EUR,Active,ongoing,Country,,
FRANCE,FRA,French Franc,FRF,Historic,2002-03,Country,,
FRENCH  GUIANA,GUF,French Franc,FRF,Historic,2002-03,0,,
FRENCH GUIANA,GUF,Euro,EUR,Active,ongoing,0,,
